gene,genes,logFC,logCPM,F,PValue,FDR
4800,FCGR4,5.8242311571067225,9.44673941365941,13016.551329402382,2.2570657482297466e-15,1.0286527958831749e-11
5242,GBP4,8.18647757597432,9.59685998007823,12659.871919065099,2.553295436389134e-15,1.0286527958831749e-11
4879,FGL2,5.995123448893825,10.168556073967835,11454.0782830962,3.981327010047674e-15,1.0286527958831749e-11
5972,H2-AA,6.011398561001126,10.932743815661363,11139.970870435573,4.50424642650608e-15,1.0286527958831749e-11
12823,SLCO3A1,5.7904648371078515,8.210732975115347,10861.434736480218,5.039945104768128e-15,1.0286527958831749e-11
2665,CIITA,5.772935901438487,9.001461214921193,10358.534160149431,6.220081841382818e-15,1.0579322531885277e-11
13925,TGM2,4.263903030105115,10.926832208402818,9520.131290186238,9.046038420274973e-15,1.3187831725558015e-11
2290,CD74,5.942045530994893,12.676731989525912,8337.917040813605,1.629206532909964e-14,2.0782565835432727e-11
9451,OCSTAMP,6.583168559223939,6.81993136786367,7910.291021774768,2.0579002532017604e-14,2.3334302315471073e-11
7786,LY6A,6.204422341828896,9.997926369527322,6938.955523535546,3.679996147904492e-14,3.339431156874388e-11
6548,IGTP,4.685800702083522,8.78720719186545,6843.875645475486,3.912262701272753e-14,3.339431156874388e-11
14038,TLR12,8.08006001970329,6.01030395959163,6696.991989660984,4.307495589152419e-14,3.339431156874388e-11
6550,IIGP1,7.631035975119946,9.51833431776052,6530.503223138665,4.8163952388146306e-14,3.339431156874388e-11
6569,IL12RB1,8.070496026708058,7.167046666256519,6470.0995597483825,5.019070131870401e-14,3.339431156874388e-11
5999,H2-Q7,6.3677072591844315,6.294508001573991,6440.928605988624,5.120686438961422e-14,3.339431156874388e-11
5973,H2-AB1,5.9793415888914305,11.248517671673977,6360.818725226126,5.4129983733700364e-14,3.339431156874388e-11
13009,SOCS1,6.874810365069881,6.995067475246462,6321.742682612514,5.562991638105301e-14,3.339431156874388e-11
13350,STAT1,3.3256420898096195,10.296690710073099,6056.880983670543,6.725944946085303e-14,3.813237120822251e-11
12128,SECTM1A,7.930615221795417,5.735637753386529,5916.362596891858,7.463925789757295e-14,4.008913825498589e-11
12194,SERPINA3F,9.049364824925,7.977864395767882,5781.978284374071,8.264607136354891e-14,4.217015791325083e-11
5240,GBP2,6.967623901710468,10.227084625598183,5657.287186873766,9.103606500534587e-14,4.2309351702874e-11
3886,DNASE1L3,8.355736362755543,6.559313964296976,5632.108635376623,9.285488199241427e-14,4.2309351702874e-11
14365,TNIK,7.853841613358115,6.552750770061879,5575.967086663199,9.707332863908785e-14,4.2309351702874e-11
2843,CNN3,6.200783769619905,6.717872202656431,5482.59852342036,1.046220670065629e-13,4.2309351702874e-11
5977,H2-EB1,6.160396303923617,10.945735950090912,5447.106647544623,1.0767914235811944e-13,4.2309351702874e-11
15762,ZBP1,4.396522298418991,7.50340969129,5445.7913125226805,1.0779452663152611e-13,4.2309351702874e-11
5998,H2-Q6,7.005652604804956,6.389462888351907,5318.337807506597,1.1973100377065333e-13,4.496247463239421e-11
13647,TAP1,3.390491117811745,9.009293727295875,5259.842342019026,1.2574947203187507e-13,4.496247463239421e-11
6749,IRF1,4.102729564789586,9.440934023474115,5240.95182133588,1.2777185343845488e-13,4.496247463239421e-11
2761,CLEC9A,7.153511124390883,7.2459755343036125,5180.038241670083,1.3457032642506441e-13,4.5776339372259415e-11
13933,TGTP2,5.91927093617029,7.5643622833737085,5037.703879610002,1.5226665310386047e-13,4.9416789074467713e-11
6761,IRGM2,3.3766942437688967,8.400348397982233,5017.843819092787,1.5495710439813491e-13,4.9416789074467713e-11
3307,CXCL9,8.279351243276157,5.949390612313507,4979.416972897984,1.6033017111966332e-13,4.95808907962474e-11
6760,IRGM1,3.182815845624093,8.94936659546882,4941.085098835685,1.6591914720707111e-13,4.98001440367106e-11
5243,GBP7,5.082065334953511,8.434543687638516,4764.392115623533,1.9499213170595734e-13,5.685413440169413e-11
8962,NES,-5.873444376145398,6.249080169113993,4662.718179849425,2.1456200282333065e-13,6.082236774478026e-11
1505,BATF2,5.8580871021635295,6.69109200676271,4542.550058265048,2.408938244740444e-13,6.644112104750333e-11
4316,EMP1,-4.6546398928665145,7.069181486191912,4470.659610606087,2.585472844910731e-13,6.858954784436972e-11
1817,C4B,7.5250767585130705,5.774052288161085,4456.8195456214235,2.621256605517314e-13,6.858954784436972e-11
2247,CD274,6.0518351969734185,7.903011665756925,4364.682958330104,2.8755986393197137e-13,7.33637102856442e-11
7218,KLRA2,5.183293472545488,6.05789378069722,4323.902943567102,2.997785309060783e-13,7.461560750967143e-11
5241,GBP3,5.366053513443669,8.249216850626315,4225.399076820576,3.320209112981517e-13,8.067317618565805e-11
