gene,genes,logFC,logCPM,F,PValue,FDR
1065,ARG1,10.301387079915179,8.657101447117517,2701.8641889065793,6.501943749694093e-19,6.019499523466791e-15
9451,OCSTAMP,5.4399651287635304,6.8023588623828655,2291.8000653543295,2.3313388921801962e-18,1.0791767731902128e-14
14228,TMEM26,4.187611444749012,7.615331793415858,1735.4882931383079,2.009051409621014e-17,6.19993265009045e-14
4939,FLT1,5.203815136940286,6.840609789331437,1469.4190991103903,7.27512317408255e-17,1.6838272586414062e-13
8218,MGL2,8.65688451348719,7.3098155360870605,1403.6533156135617,1.0362038404117297e-16,1.9186350309063586e-13
3293,CX3CR1,-6.507944995474793,6.234589376299248,1355.8957390536798,1.353696457624505e-16,2.088753634114611e-13
5675,GPC1,3.3037979399221484,7.518399535206066,1294.9372689918503,1.9306509536226812e-16,2.4398852573652594e-13
12794,SLC7A2,4.8605762867483095,7.750361678345084,1280.2434422136605,2.1083475976368626e-16,2.4398852573652594e-13
6811,ITGAX,2.8765888205741343,10.125422122527908,1187.4544048073806,3.766331081266932e-16,3.8742992389299177e-13
2217,CD14,-2.956806963234228,7.6245662517798705,1109.2587257417913,6.365831280624748e-16,5.893486599602391e-13
6817,ITGB3,3.5537569388652246,6.486429876217624,1082.5194916534579,7.68164385224786e-16,6.465150798555516e-13
8049,MCF2L,3.8784059428166175,5.579568762183266,911.5632108602242,2.88048644327754e-15,2.222295290988622e-12
11617,RNF19B,2.0783614996362734,7.988051492415223,816.5754817426506,6.701066152011345e-15,4.7721900334862334e-12
6600,IL1RL1,3.6723004389043945,5.686240983017565,782.3050653720758,9.307236674820384e-15,6.1547426525347944e-12
6053,HBEGF,4.1258823717823025,4.841947768957022,765.4279603027878,1.0999056207939625e-14,6.788617491540337e-12
2760,CLEC7A,2.2612616306691264,8.414830777606918,746.229864763318,1.335973815043505e-14,7.730278487295481e-12
13010,SOCS2,5.4935280969841465,4.478285268424417,725.2008530962021,1.6625482237203293e-14,9.05404203247224e-12
12866,SMAP2,2.108109823697537,8.664201954661118,717.3158013629355,1.8075244174055237e-14,9.296700586855744e-12
2674,CISH,6.349210004155406,4.256090239154011,707.1450402021438,2.0160512124899232e-14,9.82347480275353e-12
1819,C5AR1,-2.0051327067751803,8.426346405297412,678.1156331524189,2.7772048927792672e-14,1.2855681448675228e-11
12225,SERPINB9B,2.3711155567805173,6.022548635342337,668.0825678767712,3.11203659379788e-14,1.3354189895553482e-11
5973,H2-AB1,1.80974861668782,7.940192533000749,663.3626625815433,3.2851355598082976e-14,1.3354189895553482e-11
4797,FCGR1,-1.9577633668806536,6.935772955518868,662.507886041851,3.317631968003133e-14,1.3354189895553482e-11
13009,SOCS1,5.857331672623062,4.824927049939604,642.2966286810519,4.202548083203519e-14,1.6211329230957577e-11
6679,INPP5A,2.538680376936669,5.9721687016533265,619.5891300065418,5.529899195217131e-14,2.047832269972808e-11
4192,EGR2,2.4744133984685517,7.471016626343897,575.4300598913292,9.711226853226716e-14,3.310354238815402e-11
4798,FCGR2B,3.279069800177543,6.938578566636717,574.2389194633653,9.865554632878667e-14,3.310354238815402e-11
3821,DMPK,-3.367038504605603,4.959103973727192,573.128853688915,1.0011872832883048e-13,3.310354238815402e-11
6754,IRF4,4.323057969193163,5.6589165282803435,568.3369874458365,1.0672227125821556e-13,3.4070165079605507e-11
4636,FAM20C,1.6321297948786748,9.107151489897545,551.4018933015375,1.3432328518303068e-13,4.1066411552129445e-11
2159,CCL7,3.4087731517337265,6.749379133716688,549.703978101842,1.3750904710693593e-13,4.1066411552129445e-11
9000,NFIL3,2.9028567263053033,5.498283003809258,541.969386085493,1.5314240078668185e-13,4.430601082759689e-11
1620,BHLHE40,2.6006132201991985,7.289521289897575,527.7818971853382,1.8732205365426748e-13,5.25523506888245e-11
4530,F10,3.3937228848782417,6.0538830662682654,500.9417262957359,2.783276421810698e-13,7.578697974448072e-11
930,ANXA4,1.3845986179086456,9.525292864075235,492.3850278598271,3.171513765444245e-13,8.1713523684894e-11
9473,OLFM1,1.7405218432864837,7.160955294942702,490.52389105098774,3.263834404903715e-13,8.1713523684894e-11
4543,F7,2.67542353024825,6.59047952975969,490.39488859258466,3.2703450099143604e-13,8.1713523684894e-11
2256,CD300LD,1.5911801410945916,9.123805821328098,488.7630594864649,3.3539791531928843e-13,8.1713523684894e-11
6802,ITGA6,-1.856249814937024,8.439758962383006,484.54394730099034,3.5816299692250864e-13,8.50223852694509e-11
10248,PLEKHF1,3.479032833411326,4.3156338908367795,471.6527013188513,4.3927896917654245e-13,1.0167111741591074e-10
11382,RETNLA,13.474484607994265,7.0772258565844846,689.158572133029,4.743443417733255e-13,1.0468121461687265e-10
8302,MMP13,2.1112044679674193,6.959475985241825,466.81766088530344,4.748985757084307e-13,1.0468121461687265e-10
613,AGPAT3,1.5530569228127586,7.830276025820544,462.2176613278118,5.118378796573748e-13,1.1019988581088315e-10
3022,CPD,-1.6714994426648486,8.085259989741838,449.38458651352846,6.332503323739106e-13,1.332416267526742e-10
1547,BCAR3,1.6548792882358776,7.102599382064179,442.25088562924515,7.146195538200025e-13,1.4529185767550185e-10
954,AP2M1,1.4090915832225825,9.568538273278822,441.6570641968542,7.219081284373606e-13,1.4529185767550185e-10
10970,PTPRE,1.5173913518219277,7.825042906742959,435.5848401000025,8.014545189660572e-13,1.5786948801250545e-10
4959,FN1,4.32053453118791,6.5993766212012765,427.39968168608664,9.24806853609355e-13,1.7837212188990433e-10
8375,MPEG1,-1.7091658441019122,11.031941300218998,422.9356649840326,1.0010259955937437e-12,1.891326258613649e-10
13227,SRGN,1.894200028710773,7.539945553076699,418.92591278612565,1.0755735395404668e-12,1.9421607781491407e-10
2012,CBLB,1.7883904101336678,7.391687337984554,418.8547792739226,1.0769514093087996e-12,1.9421607781491407e-10
3302,CXCL16,-1.8301521805429688,6.582607755666724,418.14213884396634,1.0908658507642614e-12,1.9421607781491407e-10
2349,CDH1,5.739210917097695,3.8817462615989053,415.9312992599606,1.1353404827996051e-12,1.983204186746933e-10
9608,P2RY1,2.494655160460789,5.3862836357377954,411.0005491421023,1.2420954824266383e-12,2.1295036993158923e-10
10647,PRKCD,1.4238305456759692,9.255630751752477,405.4548974321261,1.375925449488078e-12,2.2830155833964332e-10
666,AK2,1.6839812799913858,7.3771728775415015,404.5108352876778,1.4002916839297274e-12,2.2830155833964332e-10
3221,CTLA2B,-2.4895487764638315,5.804993901680933,404.30703014707586,1.4056155568545764e-12,2.2830155833964332e-10
15711,XYLT2,-1.6612757255123571,7.1702275388116945,401.18506991069984,1.4900903360579101e-12,2.3784924709007123e-10
8952,NEK6,1.5207917796512334,7.741581067349503,396.86081370102113,1.616723513848017e-12,2.5256127008162435e-10
4096,EAR2,3.9125955528148544,4.401179637498981,395.7929941791563,1.649834399067089e-12,2.5256127008162435e-10
11919,S1PR1,-2.1726558846717965,5.380154575629381,395.1951629198699,1.6687055861707364e-12,2.5256127008162435e-10
6457,IER3,3.3497725505834186,4.50655937797974,394.48684609271965,1.691380292186294e-12,2.5256127008162435e-10
7356,KSR2,2.552071531527934,5.078426492647278,387.59474086003297,1.9311287628852446e-12,2.8254081266805993e-10
6387,HSPH1,1.4509068934962503,7.41185348367421,386.40110667958265,1.976431731636236e-12,2.8254081266805993e-10
8301,MMP12,1.5143414197719025,12.229350511447276,386.2123162986562,1.9837062889850825e-12,2.8254081266805993e-10
7140,KLF4,1.8114728187753395,6.014784425789625,384.4648761751933,2.052492310604082e-12,2.8790869411473623e-10
12496,SLC16A10,-1.432345509845973,7.267529247731939,382.8303289587652,2.1192787105271164e-12,2.928400343591051e-10
12720,SLC40A1,-2.327389017664282,4.8119559448381635,375.8491509953469,2.43351493813397e-12,3.3131590143006317e-10
