gene,genes,logFC,logCPM,F,PValue,FDR
12720,SLC40A1,-1.5655236182305838,7.981348873104437,37.27064144189088,1.0972278525766342e-4,0.5828616407028506
11913,S100A8,5.023501394997043,3.325193290441089,35.816749875225675,1.2889465738674273e-4,0.5828616407028506
12794,SLC7A2,1.3769989397209128,5.902030615617796,28.157408150982565,3.318578754465094e-4,0.6515782133136946
3307,CXCL9,2.2561790461206783,5.522720215988111,26.278870097094654,4.312306548952354e-4,0.6515782133136946
7121,KIT,2.121152309409166,4.2860216372280915,25.62223720529026,4.741516228071176e-4,0.6515782133136946
6593,IL1B,1.370214836382495,8.878829939650391,24.59876669211721,5.517517033221779e-4,0.6515782133136946
6207,HMGN5,1.2101439598184072,6.399566436124832,23.154523334813803,6.889049239055643e-4,0.6515782133136946
6962,KCNJ10,-1.9215724925668207,5.318550319460609,22.904345488781786,7.166453791652475e-4,0.6515782133136946
14080,TMCC3,-1.1394488954575699,6.378479495194059,21.129033732637065,9.572411343693721e-4,0.6515782133136946
14510,TREM1,4.037590661370943,3.0783535864170966,21.0783853975914,9.654217338875013e-4,0.6515782133136946
6287,HP,4.164364323254913,4.5137277149950465,20.93106061799216,9.896988217367514e-4,0.6515782133136946
9006,NFKBID,1.343896494585567,6.547776376945378,20.180300710224614,0.001125427461224788,0.6515782133136946
7771,LTBP4,-1.4208708978579268,5.412907650365814,20.07022586847749,0.0011471577440770036,0.6515782133136946
8586,MTMR11,-3.9921512810849977,2.082193402289244,20.009010742777214,0.0011594603835934983,0.6515782133136946
8706,MYO10,1.5886665112365586,6.269036749449488,19.942491911704344,0.0011730089772764784,0.6515782133136946
12334,SH3BGRL2,-2.060921479436106,3.7607983588282843,19.281603119302787,0.0013184961587722835,0.6515782133136946
307,ABHD12,-1.1475065360606214,6.691207571888805,19.22378985543823,0.0013322262686803802,0.6515782133136946
14972,UFSP2,1.7174730114770598,4.517023364985048,18.871659511668742,0.0014196632634135506,0.6515782133136946
3988,DSE,-0.9809289185341684,6.896668732100858,18.824926083805348,0.0014317788006125794,0.6515782133136946
11312,RCBTB2,-1.1178911632218398,7.517557435706689,18.477505293837158,0.0015258485887888345,0.6515782133136946
8019,MBD5,1.525538282270802,4.773450054020142,18.200443324089182,0.0016062252731568658,0.6515782133136946
2124,CCDC88B,1.0303079749321826,6.676028975228983,17.70599444139443,0.001762688605155056,0.6515782133136946
10433,POSTN,-1.2724096428605574,5.861102629555621,17.349338819339362,0.001886994967826096,0.6515782133136946
4934,FLOT1,1.482879416218229,4.728803548137814,17.103294936992867,0.0019789130762542825,0.6515782133136946
8260,MKI67,1.8649850610884298,7.894845591923768,16.9576965613335,0.002035841363488167,0.6515782133136946
14794,TUBB2B,-1.9006418911007485,4.3420083374677345,16.8160034804522,0.002093142312592354,0.6515782133136946
5270,GDA,2.2016076019215323,6.373791452943055,16.79675967381567,0.0021010731730675123,0.6515782133136946
10310,PMEPA1,-1.0485020259291948,7.143061743672757,16.58081097142504,0.002192594777236293,0.6515782133136946
6670,INMT,6.936720492215374,1.2522391500633643,19.393134950835297,0.002200519162008236,0.6515782133136946
6371,HSPA4L,1.2526836211387318,5.7662626069730045,16.519159244654976,0.002219597608336055,0.6515782133136946
9366,NUDT4,1.1790380570545451,5.726772802465198,16.110002229118805,0.002409296117209971,0.6515782133136946
13654,TARM1,2.5189273277997377,6.176839511565252,16.021983128155785,0.0024526166208536674,0.6515782133136946
6316,HS2ST1,-1.0678198073808784,5.762943848148753,16.011871901045556,0.002457652805279844,0.6515782133136946
8530,MSH3,1.6470934232902823,4.670952442927468,15.830647075449063,0.002550060557442422,0.6515782133136946
10610,PRDX5,1.8357317479316835,7.583509496068221,15.211958413459643,0.0028986425107267585,0.6515782133136946
10200,PLAC8,1.3322004745271272,5.214126504076706,15.180217680380471,0.002918022563841575,0.6515782133136946
6145,HGSNAT,-0.9545853805479594,5.837109760796678,15.131565305667602,0.002948031761514439,0.6515782133136946
6476,IFITM1,3.627194757072001,3.8568215271049056,15.07786830026159,0.0029815844413925616,0.6515782133136946
9172,NOS2,3.206598936676477,4.632749352031632,15.005419706519,0.0030275848430950346,0.6515782133136946
14366,TNIP1,1.1553101029965533,8.919785437120032,14.992221011535415,0.0030360568467570678,0.6515782133136946
1646,BLVRB,-1.0757691657740567,7.336728253357053,14.957777865559882,0.003058299903622699,0.6515782133136946
12414,SIPA1L1,0.9553604808286633,6.079999591426161,14.921571564084996,0.0030818932052982125,0.6515782133136946
15457,VOPP1,-1.3832974770319988,4.647223559255686,14.832660434892931,0.0031407658953520926,0.6515782133136946
10582,PRAM1,6.616375510314107,0.9921106039068318,16.884554662488412,0.003296140067694374,0.6515782133136946
12824,SLCO4A1,2.6355093591331347,4.711313330883709,14.498748499856656,0.0033742966174226596,0.6515782133136946
452,ACVRL1,-1.045176065807025,6.648683637614415,14.456479202195775,0.0034053258547828637,0.6515782133136946
12135,SELENBP1,-1.9315431772160134,3.193138244343066,14.347967491511348,0.003486567718915973,0.6515782133136946
5721,GPR157,-1.8128685844484032,5.43382699465479,14.141710602807361,0.0036475150552900586,0.6515782133136946
2534,CFB,2.9406604964063807,6.821617263798016,14.132918923997913,0.0036545718144970537,0.6515782133136946
2759,CLEC5A,1.7176753165865764,6.697056102783734,14.042690899796149,0.003727952214051057,0.6515782133136946
1082,ARHGAP26,1.0040467271427562,6.5904908583935375,13.893858448995147,0.0038529076195411302,0.6515782133136946
1997,CAT,-1.3031653739693936,7.4364445534634,13.839151451475306,0.0039001006978644603,0.6515782133136946
13303,ST18,-2.0718110737990583,4.6915718215358915,13.819202915315326,0.003917482183497231,0.6515782133136946
2012,CBLB,1.0452912927306541,6.436221977856675,13.784427970226641,0.003948005573707563,0.6515782133136946
13353,STAT4,1.0170918349772453,5.863056023971014,13.676546470879043,0.004044535520688454,0.6515782133136946
12859,SMAD3,1.1637554685485745,5.886774217113045,13.542299326921137,0.004168653939946031,0.6515782133136946
7980,MARCKSL1,0.8747376033369679,7.5858195774245285,13.443497474136988,0.004262936723897188,0.6515782133136946
7557,LIPA,-1.1119859963217018,10.178994731418477,13.422987665042642,0.004282828888518956,0.6515782133136946
11787,RPS6KA5,1.7077584861063726,3.6678020850993494,13.400586992575034,0.004304682759798951,0.6515782133136946
5036,FPR2,2.616397367709211,3.2074847228720547,13.311247057825035,0.004393187963393132,0.6515782133136946
15512,VWA5A,-0.9784135640408311,6.981030226106716,13.241535945491426,0.004463772142465437,0.6515782133136946
999,APOBR,1.218745350783919,4.930906848128203,13.212541830228563,0.004493530864733725,0.6515782133136946
2748,CLEC4A1,1.2976796282308438,6.395952684211508,13.116312526281625,0.004594024234524996,0.6515782133136946
4526,EYA4,-3.9842778481921006,2.747753242993137,12.995158480503502,0.004724422181811022,0.6515782133136946
3487,DAP,-0.9357700021636426,5.862956647693877,12.982534347406412,0.004738264292831084,0.6515782133136946
335,ABTB2,1.2084116828649871,5.160008617456988,12.907078045977848,0.004822026340202661,0.6515782133136946
3864,DNAJC19,-1.8158124333320589,3.928631165838586,12.56564445520719,0.005224079422583009,0.6515782133136946
10904,PTCHD1,-1.2721432033401305,4.1582918610947095,12.508038090365659,0.005295833587968704,0.6515782133136946
285,ABCC3,-1.0892231358110143,5.7494712068881535,12.499470000981526,0.005306607076276497,0.6515782133136946
6575,IL15RA,1.4697520342141794,4.3515364306238755,12.478320993078235,0.0053333129604067435,0.6515782133136946
13167,SPON1,2.229059657410031,4.535389188231601,12.473006424827977,0.00534004935368861,0.6515782133136946
9259,NR4A3,0.903742994811156,7.570255878584787,12.407019359108986,0.005424549700796719,0.6515782133136946
1345,ATP2B4,1.4650314389524075,6.297963306527079,12.375871418682369,0.005464995592270306,0.6515782133136946
9591,OXCT1,-0.9310928377514198,5.889227798901552,12.374728956512808,0.005466485982692799,0.6515782133136946
13710,TBC1D16,-1.8658261238559415,3.2721691795304833,12.368100641520243,0.005475142566835836,0.6515782133136946
12832,SLFN4,1.5830567097235966,5.51907895998687,12.367867637371203,0.005475447170703316,0.6515782133136946
11151,RAI14,1.200612733701699,6.731183731308303,12.20482732016641,0.005693685046098368,0.661395899550014
1583,BCOR,1.0832898889772031,6.855179914729113,12.197154975318627,0.005704210544548993,0.661395899550014
12136,SELENBP2,-3.5729147279378233,1.8711242589656805,11.670961328330467,0.006485497279045399,0.7188843679533052
323,ABI3,1.1466678157581134,5.045662260115401,11.589367021650014,0.006617907674578496,0.7188843679533052
10492,PPM1D,1.2892311141566017,4.446941166616968,11.540616521274853,0.006698574859838703,0.7188843679533052
11075,RAB31,-0.8369545111342434,5.844926863249836,11.52190445261897,0.006729852038570357,0.7188843679533052
2009,CBFA2T3,1.3996989634438812,4.110602020893588,11.514237100339047,0.006742718822975082,0.7188843679533052
6168,HIP1,-0.8382149550764745,6.285121978030011,11.481693695066252,0.00679766186565842,0.7188843679533052
667,AK3,-1.803345173176787,3.416112818386544,11.47384784462842,0.006810988651684782,0.7188843679533052
13601,TACC3,2.7398720163012626,2.5896898265000314,11.459219946881754,0.006835919465279107,0.7188843679533052
7025,KCTD19,1.356381799390994,5.2173442737620155,11.314827402626884,0.007088010479276532,0.7368272043054822
3626,DEF6,1.5944865795284473,3.751241911610482,11.22713094716249,0.007246592009080086,0.7447520242059125
5134,GAA,-0.8120678421575847,6.29954802551566,11.145610858111269,0.007397856019893094,0.7517551667855409
15183,VIT,-4.093206990713964,1.3443264403865314,11.088995692316235,0.007505150927667732,0.7541842776647442
1091,ARHGAP39,-1.2845882432714784,4.443185745224189,11.00951038606521,0.007658973315103212,0.7594996239329597
8325,MMS22L,4.192672828080352,1.399617361708087,10.906572434918655,0.00786387223204759,0.7594996239329597
15782,ZBTB4,-1.1188075047633201,5.305141865027944,10.877818170075065,0.007922284968130397,0.7594996239329597
7949,MAP4K4,0.954651080659434,9.202854445977886,10.840900981923799,0.007998049432455944,0.7594996239329597
12260,SETDB1,1.4946198632428067,5.625670278240961,10.84087107292142,0.007998111167560995,0.7594996239329597
6429,IBTK,-0.9134143311425004,5.765469222852316,10.74124384168492,0.008206980253136889,0.7594996239329597
7358,KTN1,0.8418952670681507,8.38122997839033,10.729222504563463,0.008232625527271279,0.7594996239329597
13505,SVIL,1.328919874605231,5.340672566543541,10.657756875880926,0.008387095623215426,0.7594996239329597
4178,EFR3B,1.7994770933349231,4.3546541884110415,10.599372804790967,0.00851589142933643,0.7594996239329597
